dataset,size,quality,trainable_params_M,mi_protein_counts
PBMC,100000,0.0012346,0.710299,0.87827
PBMC,100000,0.0025982,0.710299,1.17977
PBMC,100000,0.0054682,0.710299,1.61424
PBMC,100000,0.0115083,0.710299,1.81706
PBMC,100000,0.02422,0.710299,2.10599
PBMC,100000,0.050973,0.710299,2.29816
PBMC,100000,0.1072766,0.710299,2.2362
PBMC,100000,0.4751547,0.710299,2.34348
PBMC,100000,1.0,0.710299,2.75642
PBMC,100000,0.0012346,1.451771,0.91601
PBMC,100000,0.0025982,1.451771,1.29423
PBMC,100000,0.0054682,1.451771,1.61672
PBMC,100000,0.0115083,1.451771,1.91329
PBMC,100000,0.02422,1.451771,2.19686
PBMC,100000,0.050973,1.451771,2.73187
PBMC,100000,0.1072766,1.451771,2.40028
PBMC,100000,0.225772,1.451771,2.45576
PBMC,100000,0.4751547,1.451771,2.77158
PBMC,100000,1.0,1.451771,3.32342
PBMC,100000,0.0012346,3.022075,0.85238
PBMC,100000,0.0025982,3.022075,1.27572
PBMC,100000,0.0054682,3.022075,1.69104
PBMC,100000,0.0115083,3.022075,2.25113
PBMC,100000,0.02422,3.022075,2.65514
PBMC,100000,0.050973,3.022075,2.77745
PBMC,100000,0.1072766,3.022075,3.27793
PBMC,100000,0.225772,3.022075,3.51701
PBMC,100000,0.4751547,3.022075,3.35151
PBMC,100000,1.0,3.022075,3.7199
PBMC,100000,0.0012346,7.107579,0.7989
PBMC,100000,0.0025982,7.107579,1.35126
PBMC,100000,0.0054682,7.107579,1.80569
PBMC,100000,0.0115083,7.107579,2.49016
PBMC,100000,0.02422,7.107579,2.82559
PBMC,100000,0.050973,7.107579,3.28999
PBMC,100000,0.1072766,7.107579,3.56748
PBMC,100000,0.225772,7.107579,3.62444
PBMC,100000,0.4751547,7.107579,3.75073
PBMC,100000,1.0,7.107579,3.91524
PBMC,100000,0.0012346,13.063675,0.77404
PBMC,100000,0.0025982,13.063675,1.26725
PBMC,100000,0.0054682,13.063675,1.87861
PBMC,100000,0.02422,13.063675,2.81765
PBMC,100000,0.050973,13.063675,3.27653
PBMC,100000,0.1072766,13.063675,3.62452
PBMC,100000,0.225772,13.063675,3.76427
PBMC,100000,0.4751547,13.063675,3.6889
PBMC,100000,1.0,13.063675,3.76574
PBMC,100000,0.0012346,23.779579,0.78806
PBMC,100000,0.0025982,23.779579,0.96467
PBMC,100000,0.0054682,23.779579,1.56842
PBMC,100000,0.0115083,23.779579,2.31652
PBMC,100000,0.02422,23.779579,2.86909
PBMC,100000,0.050973,23.779579,3.21952
PBMC,100000,0.1072766,23.779579,3.4048
PBMC,100000,0.225772,23.779579,3.61446
PBMC,100000,0.4751547,23.779579,3.72926
PBMC,100000,1.0,23.779579,3.64584
PBMC,100000,0.0012346,54.746875,0.67014
PBMC,100000,0.0025982,54.746875,1.14461
PBMC,100000,0.0054682,54.746875,1.39911
PBMC,100000,0.0115083,54.746875,2.22665
PBMC,100000,0.02422,54.746875,2.152
PBMC,100000,0.050973,54.746875,2.53085
PBMC,100000,0.1072766,54.746875,3.53448
PBMC,100000,0.225772,54.746875,3.48584
PBMC,100000,0.4751547,54.746875,3.12489
PBMC,100000,1.0,54.746875,3.1189
